Entry,Index,NAME,ano(ANO1)
search2|LIYHUA|0,1,LIYHUA,66.0
search2|LIYHUA|1,2,LIYHUA,66.0
search2|LIYJAI|2,3,LIYJAI,68.0
search2|LIYJAI|3,4,LIYJAI,68.0
search2|LOFCUI|4,5,LOFCUI,27.0
search2|LOFDAP|5,6,LOFDAP,28.0
search2|WIXQIH|6,7,WIXQIH,25.0
search2|WIXQUT|7,8,WIXQUT,27.0
search2|WIXQUT|8,9,WIXQUT,27.0
search2|WIXRII|9,10,WIXRII,48.0
search2|WIYFAP|10,11,WIYFAP,30.0
search2|XOLYIK|11,12,XOLYIK,46.0
search2|XOLYOQ|12,13,XOLYOQ,46.0
search2|ZOJYAC|13,14,ZOJYAC,26.0
search2|ABIYEQ|14,15,ABIYEQ,48.0
search2|ADUDAH|15,16,ADUDAH,30.0
search2|AFULIA|16,17,AFULIA,28.0
search2|AFULOG|17,18,AFULOG,28.0
search2|AHICAV|18,19,AHICAV,64.0
search2|AHICAV01|19,20,AHICAV01,64.0
search2|AHICEZ|20,21,AHICEZ,65.0
search2|AHICID|21,22,AHICID,29.0
search2|AHICOJ|22,23,AHICOJ,29.0
search2|AHICUP|23,24,AHICUP,30.0
search2|AKEPAH|24,25,AKEPAH,26.0
search2|ALAFEA|25,26,ALAFEA,30.0
search2|ALAPEJ|26,27,ALAPEJ,29.0
search2|ALIQAO|27,28,ALIQAO,29.0
search2|ALIQAO|28,29,ALIQAO,29.0
search2|ALIQES|29,30,ALIQES,30.0
search2|ALIQES|30,31,ALIQES,30.0
search2|ALIQIW|31,32,ALIQIW,30.0
search2|ALIQOC|32,33,ALIQOC,30.0
search2|APTHCB|33,34,APTHCB,27.0
search2|APTHCB|34,35,APTHCB,27.0
search2|AQIHUE|35,36,AQIHUE,28.0
search2|AQIHUE|36,37,AQIHUE,28.0
search2|AQIJAM|37,38,AQIJAM,28.0
search2|AQUFUO|38,39,AQUFUO,28.0
search2|AQUFUO|39,40,AQUFUO,28.0
search2|AQUGAV|40,41,AQUGAV,28.0
search2|AQUGEZ|41,42,AQUGEZ,28.0
search2|ASUNEH|42,43,ASUNEH,29.0
search2|ASUNEH|43,44,ASUNEH,29.0
search2|ASUNIL|44,45,ASUNIL,29.0
search2|ASUXIX|45,46,ASUXIX,30.0
search2|ASUXOD|46,47,ASUXOD,30.0
search2|ASUXOD|47,48,ASUXOD,30.0
search2|ASUXUJ|48,49,ASUXUJ,30.0
search2|ATEYAB|49,50,ATEYAB,25.0
search2|ATEYEF|50,51,ATEYEF,29.0
search2|AVUKEH|51,52,AVUKEH,28.0
search2|AWESOK|52,53,AWESOK,29.0
search2|AWESOK|53,54,AWESOK,30.0
search2|AXARAV|54,55,AXARAV,28.0
search2|BACLAT|55,56,BACLAT,29.0
search2|BACLAT|56,57,BACLAT,28.0
search2|BAJJAY|57,58,BAJJAY,30.0
search2|BAJJEC|58,59,BAJJEC,30.0
search2|BAJJIG|59,60,BAJJIG,30.0
search2|BAJJOM|60,61,BAJJOM,30.0
search2|BAMDAV|61,62,BAMDAV,30.0
search2|BAMDEZ|62,63,BAMDEZ,30.0
search2|BAMLAD|63,64,BAMLAD,29.0
search2|BAMLEH|64,65,BAMLEH,29.0
search2|BAMLIL|65,66,BAMLIL,29.0
search2|BAMQIR|66,67,BAMQIR,71.0
search2|BAMQIR|67,68,BAMQIR,71.0
search2|BAMQOX|68,69,BAMQOX,69.0
search2|BAMQOX|69,70,BAMQOX,69.0
search2|BEVYEJ|70,71,BEVYEJ,27.0
search2|BEZWUA|71,72,BEZWUA,29.0
search2|BIGMEJ|72,73,BIGMEJ,28.0
search2|BIGMEJ|73,74,BIGMEJ,46.0
search2|BIPQEA|74,75,BIPQEA,29.0
search2|BIRRED|75,76,BIRRED,30.0
search2|BIWVOT|76,77,BIWVOT,29.0
search2|BOCRET|77,78,BOCRET,30.0
search2|BOCRET|78,79,BOCRET,30.0
search2|BOCRIX|79,80,BOCRIX,30.0
search2|BOCRIX|80,81,BOCRIX,30.0
search2|BOCROD|81,82,BOCROD,30.0
search2|BOFBIJ|82,83,BOFBIJ,28.0
search2|BOFBOP|83,84,BOFBOP,28.0
search2|BOFBOP|84,85,BOFBOP,28.0
search2|BOFBUV|85,86,BOFBUV,29.0
search2|BOFBUV|86,87,BOFBUV,29.0
search2|BOFBUV|87,88,BOFBUV,29.0
search2|BOFBUV|88,89,BOFBUV,29.0
search2|BOFGIP|89,90,BOFGIP,25.0
search2|BOFGIP|90,91,BOFGIP,25.0
search2|BOHGEK|91,92,BOHGEK,29.0
search2|BOLBUC|92,93,BOLBUC,64.0
search2|BOLBUC|93,94,BOLBUC,64.0
search2|BOLCAJ|94,95,BOLCAJ,67.0
search2|BOLCAJ|95,96,BOLCAJ,67.0
search2|BOLCEN|96,97,BOLCEN,65.0
search2|BOLCEN|97,98,BOLCEN,65.0
search2|BOLCIR|98,99,BOLCIR,66.0
search2|BOLCIR|99,100,BOLCIR,66.0
search2|BOWKED|100,101,BOWKED,27.0
search2|BUBKOA|101,102,BUBKOA,28.0
search2|BUBKOA|102,103,BUBKOA,28.0
search2|BUBKUG|103,104,BUBKUG,27.0
search2|BUBKUG|104,105,BUBKUG,27.0
search2|BUHCOY|105,106,BUHCOY,25.0
search2|BUHGUI|106,107,BUHGUI,29.0
search2|BUHGUI|107,108,BUHGUI,29.0
search2|BUHHAP|108,109,BUHHAP,29.0
search2|BUHHAP|109,110,BUHHAP,29.0
search2|BUHHET|110,111,BUHHET,29.0
search2|BUHHET|111,112,BUHHET,29.0
search2|BUHHET|112,113,BUHHET,29.0
search2|BUHHIX|113,114,BUHHIX,29.0
search2|BUHHIX|114,115,BUHHIX,29.0
search2|BUHHIX|115,116,BUHHIX,29.0
search2|BUHHOD|116,117,BUHHOD,29.0
search2|BUNREJ|117,118,BUNREJ,27.0
search2|BUNSAE|118,119,BUNSAE,27.0
search2|BUPFUN|119,120,BUPFUN,27.0
search2|BUTFED|120,121,BUTFED,29.0
search2|CANTET|121,122,CANTET,29.0
search2|CAVJER|122,123,CAVJER,25.0
search2|CAVJIV|123,124,CAVJIV,25.0
search2|CAVJOB|124,125,CAVJOB,25.0
search2|CAVJUH|125,126,CAVJUH,25.0
search2|CAVKAO|126,127,CAVKAO,25.0
search2|CAXRIG|127,128,CAXRIG,27.0
search2|CAXRIG|128,129,CAXRIG,27.0
search2|CAYGAL|129,130,CAYGAL,30.0
search2|CAYGEP|130,131,CAYGEP,30.0
search2|CAYGIT|131,132,CAYGIT,28.0
search2|CAYGOZ|132,133,CAYGOZ,28.0
search2|CEKRER|133,134,CEKRER,28.0
search2|CEKRER|134,135,CEKRER,28.0
search2|CEKRIV|135,136,CEKRIV,29.0
search2|CENPOB|136,137,CENPOB,29.0
search2|CENPUH|137,138,CENPUH,29.0
search2|CENPUH|138,139,CENPUH,29.0
search2|CENQAO|139,140,CENQAO,29.0
search2|CERCUB|140,141,CERCUB,29.0
search2|CERDAI|141,142,CERDAI,29.0
search2|CICGUT|142,143,CICGUT,29.0
search2|CICHII|143,144,CICHII,29.0
search2|CICWES|144,145,CICWES,29.0
search2|CIJKEN|145,146,CIJKEN,30.0
search2|CIJKEN|146,147,CIJKEN,25.0
search2|CIQSIH|147,148,CIQSIH,29.0
search2|CISNAW|148,149,CISNAW,29.0
search2|CODVAV|149,150,CODVAV,30.0
search2|COLWEG|150,151,COLWEG,25.0
search2|COMPUQ|151,152,COMPUQ,64.0
search2|COMQAX|152,153,COMQAX,65.0
search2|COMQEB|153,154,COMQEB,39.0
search2|CONBUE|154,155,CONBUE,29.0
search2|COPJUO|155,156,COPJUO,27.0
search2|COPJUO|156,157,COPJUO,27.0
search2|COPKAV|157,158,COPKAV,27.0
search2|COPKAV|158,159,COPKAV,27.0
search2|COPKEZ|159,160,COPKEZ,27.0
search2|COPKEZ|160,161,COPKEZ,27.0
search2|COPKID|161,162,COPKID,27.0
search2|COPKID|162,163,COPKID,27.0
search2|COPKOJ|163,164,COPKOJ,27.0
search2|COPKOJ|164,165,COPKOJ,27.0
search2|COPKOJ|165,166,COPKOJ,27.0
search2|COPKOJ|166,167,COPKOJ,27.0
search2|COPLAW|167,168,COPLAW,27.0
search2|COPLAW|168,169,COPLAW,27.0
search2|COPLAW|169,170,COPLAW,27.0
search2|COPLAW|170,171,COPLAW,27.0
search2|COSHOI|171,172,COSHOI,29.0
search2|COSHUO|172,173,COSHUO,29.0
search2|COSHUO|173,174,COSHUO,29.0
search2|COTKED|174,175,COTKED,30.0
search2|COVYER|175,176,COVYER,29.0
search2|COVYIV|176,177,COVYIV,29.0
search2|CUDSEA|177,178,CUDSEA,27.0
search2|CUDSEA|178,179,CUDSEA,27.0
search2|CUDSIE|179,180,CUDSIE,27.0
search2|CUDSOK|180,181,CUDSOK,27.0
search2|CUDSUQ|181,182,CUDSUQ,29.0
search2|CUDSUQ|182,183,CUDSUQ,29.0
